name,year,month,day,hour,lat,long,status,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter
Agatha,1975,6,2,0,13.5,-99,tropical depression,30,1005,NA,NA
Cp011975,1975,9,4,0,41.5,-154,hurricane,65,990,NA,NA
Annette,1976,6,6,18,11.6,-97.5,tropical storm,45,1008,NA,NA
Annette,1976,6,9,18,15,-105.3,hurricane,90,925,NA,NA
Bonny,1976,6,27,12,17,-109.4,hurricane,65,987,NA,NA
Kathleen,1976,9,7,12,14.5,-109.6,tropical depression,30,1008,NA,NA
Kathleen,1976,9,10,0,25,-114,hurricane,70,986,NA,NA
Liza,1976,9,29,18,19.3,-108.1,hurricane,120,971,NA,NA
Liza,1976,9,30,12,21.4,-108.7,hurricane,120,948,NA,NA
Liza,1976,9,30,18,22.6,-108.9,hurricane,120,971,NA,NA
Madeline,1976,10,6,18,13,-100.2,hurricane,70,984,NA,NA
Madeline,1976,10,8,0,16.3,-102.3,hurricane,115,941,NA,NA
Naomi,1976,10,28,18,21,-111,tropical storm,40,1005,NA,NA
Ava,1977,5,29,0,18,-110,tropical storm,40,997,NA,NA
Ava,1977,5,29,18,18,-110,tropical depression,30,1003,NA,NA
Doreen,1977,8,14,18,20.3,-109.3,hurricane,65,979,NA,NA
Doreen,1977,8,15,18,23.6,-110.8,hurricane,65,979,NA,NA
Ignacio,1979,10,27,18,17,-107.3,hurricane,125,938,NA,NA
Ignacio,1979,10,28,18,17.7,-108.1,hurricane,90,969,NA,NA
Ignacio,1979,10,30,0,18.1,-105,tropical storm,55,997,NA,NA
Aletta,1988,6,16,18,14.3,-101.4,tropical depression,30,1007,NA,NA
Aletta,1988,6,17,0,14.8,-101.3,tropical storm,35,1004,NA,NA
Aletta,1988,6,17,6,15.2,-101.3,tropical storm,50,1000,NA,NA
Aletta,1988,6,17,12,15.5,-101.4,tropical storm,50,997,NA,NA
Aletta,1988,6,17,18,15.8,-101.5,tropical storm,55,995,NA,NA
Aletta,1988,6,18,0,16.1,-101.6,tropical storm,60,993,NA,NA
Aletta,1988,6,18,6,16.4,-101.7,tropical storm,60,992,NA,NA
Aletta,1988,6,18,12,16.7,-101.9,tropical storm,60,992,NA,NA
Aletta,1988,6,18,18,17,-102.2,tropical storm,60,993,NA,NA
Aletta,1988,6,19,0,17.2,-102.6,tropical storm,55,995,NA,NA
Aletta,1988,6,19,6,17.3,-103.1,tropical storm,50,998,NA,NA
